jahr,demographie_szenario,rentenalter_szenario,regelaltersgrenze,verschobene_kohorten_mio,personen_20_66_adj_mio,personen_ab_rentenalter_adj_mio,ausgaben_adj_mrd_euro,beitragsbasis_reform_adj_mrd_euro,bestandsschutz_zuschuss_mrd_euro,sonstige_einnahmen_mrd_euro,erforderlicher_beitragssatz,notiz
2027,jung,status_quo_67,67.000,0.000,50.445,17.668,431.952,1789.493,99.104,3.356,0.184126,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2027,jung,finnland_ratio_light,67.000,0.000,50.445,17.668,431.952,1789.493,99.104,3.356,0.184126,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2027,jung,daenemark_2040,67.000,0.000,50.445,17.668,431.952,1789.493,99.104,3.356,0.184126,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2028,jung,status_quo_67,67.000,0.000,50.193,17.926,450.516,1825.074,103.363,3.440,0.188328,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2028,jung,finnland_ratio_light,67.125,0.119,50.311,17.807,447.531,1829.392,103.363,3.440,0.186252,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2028,jung,daenemark_2040,67.333,0.317,50.509,17.609,442.557,1836.588,103.363,3.440,0.182814,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2029,jung,status_quo_67,67.000,0.000,49.941,18.183,469.781,1861.315,107.783,3.526,0.192591,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2029,jung,finnland_ratio_light,67.250,0.238,50.178,17.946,463.645,1870.166,107.783,3.526,0.188398,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2029,jung,daenemark_2040,67.667,0.633,50.574,17.550,453.419,1884.919,107.783,3.526,0.181498,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2030,jung,status_quo_67,67.000,0.000,49.689,18.441,489.772,1917.328,97.858,3.614,0.202522,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2030,jung,finnland_ratio_light,67.375,0.356,50.045,18.084,480.311,1931.074,97.858,3.614,0.196180,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2030,jung,daenemark_2040,68.000,0.950,50.639,17.491,464.541,1953.985,97.858,3.614,0.185810,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
2031,jung,status_quo_67,67.000,0.000,49.437,18.698,510.515,1974.780,93.199,3.704,0.209447,"Screeningmodell: spaeteres Rentenalter verschiebt pauschal 0,95 Mio. Personen je Altersjahr von Renten- auf Beitragsseite."
